,Product_names,Prices,Rating
56,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
57,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
58,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
59,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
60,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
61,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹21,965",4.3
62,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
63,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",4.6
64,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,999",4.3
65,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
66,"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999",4.3
67,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹21,499",4.1
68,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
69,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
70,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
71,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
72,"APPLE iPhone 14 (Purple, 128 GB)","₹71,999",4.6
73,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",4.4
74,"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999",4.6
75,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",4.5
76,"Google Pixel 6a (Charcoal, 128 GB)","₹29,999",4.3
77,"Google Pixel 6a (Chalk, 128 GB)","₹29,999",4.3
78,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
79,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
80,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
81,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
82,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
83,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
84,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
85,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹21,965",4.3
86,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
87,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",4.6
88,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,999",4.3
89,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
90,"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999",4.3
91,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹21,499",4.1
92,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
93,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
94,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
95,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
96,"APPLE iPhone 14 (Purple, 128 GB)","₹71,999",4.6
97,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",4.4
98,"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999",4.6
99,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",4.5
100,"Google Pixel 6a (Charcoal, 128 GB)","₹29,999",4.3
101,"Google Pixel 6a (Chalk, 128 GB)","₹29,999",4.3
102,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
103,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
104,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
105,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
106,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
107,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
108,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
109,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹21,965",4.3
110,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
111,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",4.6
112,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,999",4.3
113,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
114,"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999",4.3
115,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹21,499",4.1
116,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
117,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
118,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
119,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
